,PC1
FP77,0.02307212142337501
ExtFP870,0.023066895117726686
FP207,0.02304869940123546
ExtFP565,0.02301860541701789
GATS2e,0.023007578781829983
ExtFP686,0.023005092805490356
FP700,0.023002204202490557
ExtFP876,0.022984969626081007
ExtFP424,0.02297798642741946
ExtFP160,0.022977385663792177
ExtFP808,0.02296837578809066
SubFPC88,0.022966646123527407
MAXDN,0.022958942168583428
FP827,0.02295244893818541
ExtFP118,0.02291763075479421
ExtFP674,0.02288536586106003
FP582,0.02287725789193389
ExtFP718,0.02287263047834566
GraphFP529,0.022868564466909037
GraphFP89,0.022858392235131253
GraphFP277,0.022849939086891678
ExtFP632,0.022840364093303783
FP645,0.022838151573925644
FP457,0.022824493806820417
FP866,0.02281866149888045
ExtFP291,0.02279569199114661
ExtFP296,0.022783514734323072
ExtFP236,0.0227780383945047
FP149,0.022776483534281584
ExtFP402,0.022772565160528876
FP1009,0.022766181734453866
ndO,0.022764206595556252
FP509,0.022760989730703847
FP335,0.0227407300313007
FP23,0.022736194541201907
FP909,0.022724757881879217
ExtFP967,0.022698996331581355
FP376,0.02269414988321999
FP701,0.022671079178800287
FP881,0.022663724483262867
FP197,0.022662499172038456
FP180,0.02263239672603792
